provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
santo domingo,probable defecto o falla,15,16,28,39,32,35,23,27,67,22,26,24,2022
santo domingo,riego de vida,623,686,914,1050,1170,1168,1193,1345,1406,1127,1143,846,2022
distrito nacional,falta de energia,2661,2931,3245,3253,3153,3177,2993,2398,1906,2201,2726,2610,2023
distrito nacional,níveles de tension,336,455,481,489,464,477,292,151,107,210,307,420,2023
distrito nacional,probable defecto o falla,8,4,7,9,7,7,11,18,5,6,10,8,2023
distrito nacional,riego de vida,198,172,257,287,257,236,350,337,333,351,297,269,2023
el seibo,falta de energia,495,389,444,485,544,404,410,434,364,375,346,470,2023
el seibo,níveles de tension,41,51,59,55,60,70,18,17,12,10,18,25,2023
el seibo,probable defecto o falla,0,1,1,1,0,0,1,2,0,0,3,0,2023
el seibo,riego de vida,47,40,50,41,59,38,48,71,56,43,45,46,2023
hato mayor,falta de energia,474,406,472,755,636,483,525,526,419,401,421,510,2023
hato mayor,níveles de tension,56,45,47,63,75,82,43,25,19,22,20,33,2023
hato mayor,probable defecto o falla,1,0,1,3,0,0,,5,2,4,3,2,2023
hato mayor,riego de vida,56,62,46,76,89,63,88,81,70,77,55,58,2023
la altagracia,falta de energia,960,974,1001,1346,1674,1446,1310,1510,1409,1421,892,1125,2023
la altagracia,níveles de tension,128,161,171,144,224,193,122,94,80,84,68,133,2023
la altagracia,probable defecto o falla,1,0,1,3,0,0,3,1,2,1,2,0,2023
la altagracia,riego de vida,130,137,156,227,226,180,212,288,244,285,128,166,2023
la romana,falta de energia,985,868,943,1372,1607,1529,1553,1396,1520,1621,1055,1187,2023
la romana,níveles de tension,164,147,196,257,285,251,190,98,80,103,77,152,2023
la romana,probable defecto o falla,1,1,1,0,1,0,0,5,0,2,5,0,2023
la romana,riego de vida,130,92,112,165,211,199,254,274,300,281,136,154,2023
monte plata,falta de energia,461,466,438,589,611,492,608,631,506,546,503,535,2023
monte plata,níveles de tension,40,46,48,70,55,69,41,25,36,36,22,36,2023
monte plata,probable defecto o falla,6,7,2,2,7,3,7,13,14,8,7,9,2023
monte plata,riego de vida,103,85,114,157,138,117,133,155,114,153,107,119,2023
san pedro de macoris,falta de energia,961,863,1058,1189,1456,1272,1372,1320,1191,1246,978,1002,2023
san pedro de macoris,níveles de tension,114,93,120,161,160,152,128,82,63,52,67,108,2023
san pedro de macoris,probable defecto o falla,2,3,1,8,6,3,3,7,3,1,0,1,2023
san pedro de macoris,riego de vida,129,126,150,198,238,209,248,282,245,226,156,120,2023
santo domingo,falta de energia,8645,9271,9227,10064,11043,10306,9312,7683,7490,8990,8491,9247,2023
santo domingo,níveles de tension,1711,1988,1894,2182,2400,2273,1503,745,618,915,1096,1525,2023
santo domingo,probable defecto o falla,14,13,12,33,19,17,27,40,28,32,32,20,2023
santo domingo,riego de vida,719,723,812,1062,1187,997,1424,1420,1360,1524,1112,1021,2023
distrito nacional,falta de energia,2242,2337,2333,2657,3592,3287,2782,3057,2856,2634,2623,2516,2024
distrito nacional,níveles de tension,432,417,447,556,617,594,443,496,458,415,473,454,2024
distrito nacional,probable defecto o falla,14,5,10,4,7,7,16,12,9,3,7,6,2024
distrito nacional,riego de vida,248,218,203,197,321,307,282,241,270,256,275,165,2024
el seibo,falta de energia,356,438,422,492,603,667,497,497,492,553,578,395,2024
el seibo,níveles de tension,41,32,28,43,56,55,36,45,34,37,49,38,2024
el seibo,probable defecto o falla,2,1,1,0,1,1,0,2,2,1,1,0,2024
el seibo,riego de vida,51,50,64,50,60,67,43,52,56,68,57,49,2024
